event_id,baseline_risk_score,baseline_decision,is_anomaly,anomaly_type
EVT_00000,70.0,CHALLENGE,1,Off_Hours_Privileged
EVT_00001,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00002,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00003,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00004,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00005,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00006,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00007,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00008,70.0,CHALLENGE,1,Off_Hours_Privileged
EVT_00009,70.0,CHALLENGE,1,Off_Hours_Privileged
EVT_00010,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00011,70.0,CHALLENGE,1,Off_Hours_Privileged
EVT_00012,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00013,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00014,70.0,CHALLENGE,1,Off_Hours_Privileged
EVT_00015,70.0,CHALLENGE,1,Off_Hours_Privileged
EVT_00016,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00017,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00018,75.0,BLOCK,1,Off_Hours_Privileged
EVT_00019,25.0,ALLOW,0,
EVT_00020,10.0,ALLOW,0,
EVT_00021,10.0,ALLOW,0,
EVT_00022,35.0,ALLOW,0,
EVT_00023,25.0,ALLOW,0,
EVT_00024,10.0,ALLOW,0,
EVT_00025,10.0,ALLOW,0,
EVT_00026,35.0,ALLOW,0,
EVT_00027,40.0,ALLOW,0,
EVT_00028,10.0,ALLOW,0,
EVT_00029,15.0,ALLOW,0,
EVT_00030,15.0,ALLOW,0,
EVT_00031,25.0,ALLOW,0,
EVT_00032,10.0,ALLOW,0,
EVT_00033,25.0,ALLOW,0,
EVT_00034,10.0,ALLOW,0,
EVT_00035,20.0,ALLOW,0,
EVT_00036,30.0,ALLOW,0,
EVT_00037,25.0,ALLOW,0,
EVT_00038,45.0,CHALLENGE,0,
EVT_00039,45.0,CHALLENGE,0,
EVT_00040,40.0,ALLOW,0,
EVT_00041,20.0,ALLOW,0,
EVT_00042,10.0,ALLOW,0,
EVT_00043,10.0,ALLOW,0,
EVT_00044,10.0,ALLOW,0,
EVT_00045,10.0,ALLOW,0,
EVT_00046,25.0,ALLOW,0,
EVT_00047,25.0,ALLOW,0,
EVT_00048,15.0,ALLOW,0,
EVT_00049,25.0,ALLOW,0,
EVT_00050,10.0,ALLOW,0,
EVT_00051,10.0,ALLOW,0,
EVT_00052,25.0,ALLOW,0,
EVT_00053,25.0,ALLOW,0,
EVT_00054,15.0,ALLOW,0,
EVT_00055,25.0,ALLOW,0,
EVT_00056,25.0,ALLOW,0,
EVT_00057,10.0,ALLOW,0,
EVT_00058,25.0,ALLOW,0,
EVT_00059,10.0,ALLOW,0,
EVT_00060,10.0,ALLOW,0,
EVT_00061,50.0,CHALLENGE,0,
EVT_00062,50.0,CHALLENGE,0,
EVT_00063,10.0,ALLOW,0,
EVT_00064,25.0,ALLOW,0,
EVT_00065,35.0,ALLOW,0,
EVT_00066,10.0,ALLOW,0,
EVT_00067,10.0,ALLOW,0,
EVT_00068,10.0,ALLOW,0,
EVT_00069,60.0,CHALLENGE,0,
EVT_00070,15.0,ALLOW,0,
EVT_00071,10.0,ALLOW,0,
EVT_00072,35.0,ALLOW,0,
EVT_00073,25.0,ALLOW,0,
EVT_00074,10.0,ALLOW,0,
EVT_00075,10.0,ALLOW,0,
EVT_00076,10.0,ALLOW,0,
EVT_00077,25.0,ALLOW,0,
EVT_00078,25.0,ALLOW,0,
EVT_00079,10.0,ALLOW,0,
EVT_00080,25.0,ALLOW,0,
EVT_00081,10.0,ALLOW,0,
EVT_00082,10.0,ALLOW,0,
EVT_00083,25.0,ALLOW,0,
EVT_00084,15.0,ALLOW,0,
EVT_00085,10.0,ALLOW,0,
EVT_00086,15.0,ALLOW,0,
EVT_00087,10.0,ALLOW,0,
EVT_00088,10.0,ALLOW,0,
EVT_00089,15.0,ALLOW,0,
EVT_00090,10.0,ALLOW,0,
EVT_00091,10.0,ALLOW,0,
EVT_00092,10.0,ALLOW,0,
EVT_00093,15.0,ALLOW,0,
EVT_00094,25.0,ALLOW,0,
EVT_00095,70.0,CHALLENGE,1,Privilege_Escalation
EVT_00096,70.0,CHALLENGE,1,Privilege_Escalation
EVT_00097,70.0,CHALLENGE,1,Privilege_Escalation
EVT_00098,70.0,CHALLENGE,1,Privilege_Escalation
EVT_00099,70.0,CHALLENGE,1,Privilege_Escalation
EVT_00100,60.0,CHALLENGE,1,Privilege_Escalation
EVT_00101,10.0,ALLOW,0,
EVT_00102,60.0,CHALLENGE,0,
EVT_00103,25.0,ALLOW,0,
EVT_00104,10.0,ALLOW,0,
EVT_00105,10.0,ALLOW,0,
EVT_00106,80.0,BLOCK,1,New_Device_Sensitive
EVT_00107,10.0,ALLOW,0,
EVT_00108,15.0,ALLOW,0,
EVT_00109,25.0,ALLOW,0,
EVT_00110,35.0,ALLOW,0,
EVT_00111,40.0,ALLOW,0,
EVT_00112,15.0,ALLOW,0,
EVT_00113,25.0,ALLOW,1,Unusual_Resource_Access
EVT_00114,10.0,ALLOW,0,
EVT_00115,10.0,ALLOW,0,
EVT_00116,25.0,ALLOW,0,
EVT_00117,25.0,ALLOW,1,Unusual_Resource_Access
EVT_00118,10.0,ALLOW,0,
EVT_00119,45.0,CHALLENGE,0,
EVT_00120,15.0,ALLOW,0,
EVT_00121,70.0,CHALLENGE,1,New_Device_Sensitive
EVT_00122,45.0,CHALLENGE,1,Impossible_Travel
EVT_00123,10.0,ALLOW,0,
EVT_00124,35.0,ALLOW,0,
EVT_00125,50.0,CHALLENGE,0,
EVT_00126,10.0,ALLOW,0,
EVT_00127,10.0,ALLOW,0,
EVT_00128,10.0,ALLOW,0,
EVT_00129,40.0,ALLOW,0,
EVT_00130,10.0,ALLOW,0,
EVT_00131,10.0,ALLOW,0,
EVT_00132,10.0,ALLOW,0,
EVT_00133,15.0,ALLOW,0,
