event_id,calculated_risk_score_ai,final_decision,decision_reason
EVT_00000,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00001,98.6,BLOCK,Critical AI risk (99/100). High probability of active compromise.
EVT_00002,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00003,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00004,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00005,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00006,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00007,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00008,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00009,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00010,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00011,98.7,BLOCK,Critical AI risk (99/100). High probability of active compromise.
EVT_00012,99.5,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00013,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00014,98.7,BLOCK,Critical AI risk (99/100). High probability of active compromise.
EVT_00015,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00016,99.9,BLOCK,Critical AI risk (100/100). High probability of active compromise.
EVT_00017,99.2,BLOCK,Critical AI risk (99/100). High probability of active compromise.
EVT_00018,98.6,BLOCK,Critical AI risk (99/100). High probability of active compromise.
EVT_00019,5.6,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00020,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00021,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00022,37.4,ALLOW,Low AI risk (37/100). Request matches baseline behaviour.
EVT_00023,5.6,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00024,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00025,3.7,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00026,34.5,ALLOW,Low AI risk (34/100). Request matches baseline behaviour.
EVT_00027,2.1,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00028,2.1,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00029,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00030,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00031,15.6,ALLOW,Low AI risk (16/100). Request matches baseline behaviour.
EVT_00032,13.1,ALLOW,Low AI risk (13/100). Request matches baseline behaviour.
EVT_00033,1.7,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00034,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00035,33.0,ALLOW,Low AI risk (33/100). Request matches baseline behaviour.
EVT_00036,5.6,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00037,2.3,ALLOW,Low AI risk (2/100). Request matches baseline behaviour.
EVT_00038,24.1,CHALLENGE,Low AI risk (24/100) overridden by policy: access from public internet requires step-up MFA.
EVT_00039,26.6,CHALLENGE,Low AI risk (27/100) overridden by policy: access from public internet requires step-up MFA.
EVT_00040,2.6,ALLOW,Low AI risk (3/100). Request matches baseline behaviour.
EVT_00041,6.3,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00042,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00043,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00044,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00045,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00046,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00047,5.6,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00048,0.7,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00049,0.1,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00050,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00051,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00052,5.6,ALLOW,Low AI risk (6/100). Request matches baseline behaviour.
EVT_00053,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00054,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00055,5.0,ALLOW,Low AI risk (5/100). Request matches baseline behaviour.
EVT_00056,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00057,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00058,1.1,ALLOW,Low AI risk (1/100). Request matches baseline behaviour.
EVT_00059,0.4,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00060,0.5,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
EVT_00061,50.6,CHALLENGE,Medium AI risk (51/100). Context: unrecognised device. Step-up MFA required.
EVT_00062,19.2,ALLOW,Low AI risk (19/100). Request matches baseline behaviour.
EVT_00063,3.6,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00064,4.3,ALLOW,Low AI risk (4/100). Request matches baseline behaviour.
EVT_00065,14.1,ALLOW,Low AI risk (14/100). Request matches baseline behaviour.
EVT_00066,0.2,ALLOW,Low AI risk (0/100). Request matches baseline behaviour.
