event_id,timestamp,user_id,role,department,network_zone,device_id,resource_id,sensitivity,action,outcome,is_anomaly,anomaly_type
EVT_00000,2026-05-01 01:23:50,USR_042,Manager,HR,VPN_Remote,DEV_142,RES_SAL_CONTRACTS,Privileged,Read,Success,1,Off_Hours_Privileged
EVT_00001,2026-05-01 01:40:08,USR_020,Manager,Engineering,VPN_Remote,DEV_120,RES_ENG_PROD_DB,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00002,2026-05-01 01:47:55,USR_055,Employee,Sales,VPN_Remote,DEV_155,RES_ENG_PROD_DB,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00003,2026-05-01 01:53:13,USR_035,Manager,Engineering,VPN_Remote,DEV_135,RES_FIN_BANK,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00004,2026-05-01 01:53:15,USR_015,Employee,Engineering,VPN_Remote,DEV_115,RES_FIN_BANK,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00005,2026-05-01 01:54:08,USR_029,Admin,Sales,VPN_Remote,DEV_129,RES_ENG_PROD_DB,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00006,2026-05-01 02:35:21,USR_022,Employee,Engineering,VPN_Remote,DEV_122,RES_SAL_CONTRACTS,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00007,2026-05-01 02:35:33,USR_010,Intern,Sales,VPN_Remote,DEV_110,RES_ENG_PROD_DB,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00008,2026-05-01 02:48:50,USR_036,Manager,HR,VPN_Remote,DEV_136,RES_SAL_CONTRACTS,Privileged,Read,Success,1,Off_Hours_Privileged
EVT_00009,2026-05-01 03:09:41,USR_041,Admin,Engineering,VPN_Remote,DEV_141,RES_SAL_CONTRACTS,Privileged,Read,Success,1,Off_Hours_Privileged
EVT_00010,2026-05-01 03:30:34,USR_055,Employee,Sales,VPN_Remote,DEV_155,RES_HR_MEDICAL,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00011,2026-05-01 03:55:38,USR_053,Manager,Engineering,VPN_Remote,DEV_153,RES_ENG_PROD_DB,Privileged,Read,Success,1,Off_Hours_Privileged
EVT_00012,2026-05-01 03:57:03,USR_022,Employee,Engineering,VPN_Remote,DEV_122,RES_ENG_PROD_DB,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00013,2026-05-01 04:00:18,USR_045,Employee,Finance,VPN_Remote,DEV_145,RES_SAL_CONTRACTS,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00014,2026-05-01 04:03:22,USR_025,Intern,Engineering,VPN_Remote,DEV_125,RES_ENG_PROD_DB,Privileged,Read,Success,1,Off_Hours_Privileged
EVT_00015,2026-05-01 04:13:14,USR_043,Employee,Sales,VPN_Remote,DEV_143,RES_FIN_BANK,Privileged,Read,Success,1,Off_Hours_Privileged
EVT_00016,2026-05-01 04:29:49,USR_049,Employee,Finance,VPN_Remote,DEV_149,RES_HR_MEDICAL,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00017,2026-05-01 04:49:38,USR_055,Employee,Sales,VPN_Remote,DEV_155,RES_SAL_CONTRACTS,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00018,2026-05-01 04:55:45,USR_059,Employee,HR,VPN_Remote,DEV_159,RES_HR_MEDICAL,Privileged,Write,Success,1,Off_Hours_Privileged
EVT_00019,2026-05-01 06:00:22,USR_004,Employee,Sales,VPN_Remote,DEV_104,RES_GEN_29,Internal,Read,Success,0,
EVT_00020,2026-05-01 06:02:10,USR_021,Employee,Finance,Internal_Corporate,DEV_121,RES_GEN_29,Internal,Read,Success,0,
EVT_00021,2026-05-01 06:02:21,USR_022,Employee,Engineering,Internal_Corporate,DEV_122,RES_GEN_23,Internal,Read,Success,0,
EVT_00022,2026-05-01 06:03:38,USR_044,Employee,HR,Internal_Corporate,DEV_144,RES_HR_PAYROLL,Confidential,Read,Failure,0,
EVT_00023,2026-05-01 06:05:32,USR_034,Intern,Sales,VPN_Remote,DEV_134,RES_GEN_23,Internal,Read,Success,0,
EVT_00024,2026-05-01 06:06:07,USR_005,Manager,Sales,Internal_Corporate,DEV_105,RES_PUB_01,Public,Execute,Success,0,
EVT_00025,2026-05-01 06:11:21,USR_002,Employee,Sales,Internal_Corporate,DEV_102,RES_GEN_23,Internal,Read,Success,0,
EVT_00026,2026-05-01 06:11:47,USR_054,Intern,HR,Internal_Corporate,DEV_154,RES_HR_MEDICAL,Privileged,Read,Success,0,
EVT_00027,2026-05-01 06:14:54,USR_042,Manager,HR,Internal_Corporate,DEV_142,RES_HR_RECORDS,Confidential,Delete,Success,0,
EVT_00028,2026-05-01 06:15:27,USR_035,Manager,Engineering,Internal_Corporate,DEV_135,RES_PUB_03,Public,Read,Success,0,
EVT_00029,2026-05-01 06:16:10,USR_039,Employee,Finance,Internal_Corporate,DEV_139,RES_GEN_26,Internal,Write,Success,0,
EVT_00030,2026-05-01 06:21:57,USR_021,Employee,Finance,Internal_Corporate,DEV_121,RES_INT_02,Internal,Write,Success,0,
EVT_00031,2026-05-01 06:22:27,USR_038,Employee,HR,Internal_Corporate,DEV_138,RES_HR_RECORDS,Confidential,Read,Success,0,
EVT_00032,2026-05-01 06:23:52,USR_012,Manager,Sales,Internal_Corporate,DEV_112,RES_GEN_23,Internal,Read,Success,0,
EVT_00033,2026-05-01 06:27:15,USR_059,Employee,HR,VPN_Remote,DEV_159,RES_GEN_28,Internal,Read,Success,0,
EVT_00034,2026-05-01 06:27:47,USR_011,Manager,Finance,Internal_Corporate,DEV_111,RES_GEN_24,Internal,Read,Success,0,
EVT_00035,2026-05-01 06:28:28,USR_008,Employee,Finance,Internal_Corporate,DEV_108,RES_GEN_24,Internal,Read,Failure,0,
EVT_00036,2026-05-01 06:32:22,USR_033,Intern,Engineering,VPN_Remote,DEV_133,RES_INT_02,Internal,Write,Success,0,
EVT_00037,2026-05-01 06:32:37,USR_033,Intern,Engineering,Internal_Corporate,DEV_133,RES_ENG_CICD,Confidential,Read,Success,0,
EVT_00038,2026-05-01 06:33:56,USR_004,Employee,Sales,Public_Internet,DEV_104,RES_GEN_29,Internal,Read,Success,0,
EVT_00039,2026-05-01 06:36:03,USR_047,Employee,HR,Public_Internet,DEV_147,RES_GEN_21,Internal,Read,Success,0,
EVT_00040,2026-05-01 06:38:50,USR_012,Manager,Sales,VPN_Remote,DEV_112,RES_SAL_PIPE,Confidential,Read,Success,0,
EVT_00041,2026-05-01 06:39:34,USR_025,Intern,Engineering,Internal_Corporate,DEV_125,RES_PUB_01,Public,Read,Failure,0,
EVT_00042,2026-05-01 06:39:48,USR_048,Manager,Sales,Internal_Corporate,DEV_148,RES_INT_01,Internal,Read,Success,0,
EVT_00043,2026-05-01 06:40:24,USR_002,Employee,Sales,Internal_Corporate,DEV_102,RES_GEN_29,Internal,Read,Success,0,
EVT_00044,2026-05-01 06:40:55,USR_009,Admin,Engineering,Internal_Corporate,DEV_109,RES_GEN_20,Internal,Read,Success,0,
EVT_00045,2026-05-01 06:42:31,USR_060,Employee,HR,Internal_Corporate,DEV_160,RES_GEN_22,Internal,Read,Success,0,
EVT_00046,2026-05-01 06:43:32,USR_041,Admin,Engineering,Internal_Corporate,DEV_141,RES_ENG_CODE,Confidential,Execute,Success,0,
EVT_00047,2026-05-01 06:48:16,USR_013,Employee,Sales,VPN_Remote,DEV_113,RES_GEN_27,Internal,Read,Success,0,
EVT_00048,2026-05-01 06:48:17,USR_049,Employee,Finance,Internal_Corporate,DEV_149,RES_GEN_22,Internal,Write,Success,0,
EVT_00049,2026-05-01 06:49:31,USR_033,Intern,Engineering,Internal_Corporate,DEV_133,RES_ENG_CICD,Confidential,Read,Success,0,
EVT_00050,2026-05-01 06:50:41,USR_044,Employee,HR,Internal_Corporate,DEV_144,RES_INT_01,Internal,Read,Success,0,
EVT_00051,2026-05-01 06:51:28,USR_006,Manager,HR,Internal_Corporate,DEV_106,RES_PUB_02,Public,Read,Success,0,
EVT_00052,2026-05-01 06:55:07,USR_026,Manager,Engineering,VPN_Remote,DEV_126,RES_GEN_26,Internal,Read,Success,0,
EVT_00053,2026-05-01 06:55:29,USR_036,Manager,HR,Internal_Corporate,DEV_136,RES_HR_PAYROLL,Confidential,Read,Success,0,
EVT_00054,2026-05-01 06:57:23,USR_059,Employee,HR,Internal_Corporate,DEV_159,RES_GEN_26,Internal,Write,Success,0,
EVT_00055,2026-05-01 07:01:16,USR_032,Employee,Engineering,VPN_Remote,DEV_132,RES_GEN_23,Internal,Read,Success,0,
EVT_00056,2026-05-01 07:01:24,USR_053,Manager,Engineering,Internal_Corporate,DEV_153,RES_GEN_24,Internal,Delete,Success,0,
EVT_00057,2026-05-01 07:01:54,USR_048,Manager,Sales,Internal_Corporate,DEV_148,RES_GEN_24,Internal,Read,Success,0,
EVT_00058,2026-05-01 07:02:35,USR_047,Employee,HR,Internal_Corporate,DEV_147,RES_HR_RECORDS,Confidential,Read,Success,0,
EVT_00059,2026-05-01 07:06:44,USR_009,Admin,Engineering,Internal_Corporate,DEV_109,RES_GEN_29,Internal,Read,Success,0,
EVT_00060,2026-05-01 07:08:59,USR_035,Manager,Engineering,Internal_Corporate,DEV_135,RES_GEN_19,Internal,Read,Success,0,
EVT_00061,2026-05-01 07:09:16,USR_056,Intern,Engineering,VPN_Remote,DEV_156,RES_ENG_PROD_DB,Privileged,Read,Success,0,
EVT_00062,2026-05-01 07:09:30,USR_054,Intern,HR,VPN_Remote,DEV_154,RES_GEN_25,Internal,Delete,Failure,0,
EVT_00063,2026-05-01 07:09:36,USR_030,Intern,Finance,Internal_Corporate,DEV_130,RES_GEN_20,Internal,Read,Success,0,
EVT_00064,2026-05-01 07:15:33,USR_016,Manager,Sales,Internal_Corporate,DEV_116,RES_SAL_PIPE,Confidential,Read,Success,0,
EVT_00065,2026-05-01 07:16:25,USR_037,Employee,HR,Internal_Corporate,DEV_137,RES_HR_MEDICAL,Privileged,Read,Success,0,
EVT_00066,2026-05-01 07:18:50,USR_033,Intern,Engineering,Internal_Corporate,DEV_133,RES_GEN_19,Internal,Read,Success,0,
EVT_00067,2026-05-01 07:20:22,USR_035,Manager,Engineering,Internal_Corporate,DEV_135,RES_GEN_21,Internal,Read,Success,0,
EVT_00068,2026-05-01 07:20:33,USR_032,Employee,Engineering,Internal_Corporate,DEV_132,RES_GEN_29,Internal,Read,Success,0,
EVT_00069,2026-05-01 07:21:09,USR_033,Intern,Engineering,Public_Internet,DEV_133,RES_GEN_26,Internal,Delete,Success,0,
EVT_00070,2026-05-01 07:21:41,USR_054,Intern,HR,Internal_Corporate,DEV_154,RES_GEN_25,Internal,Write,Success,0,
EVT_00071,2026-05-01 07:22:28,USR_031,Employee,Engineering,Internal_Corporate,DEV_131,RES_GEN_25,Internal,Read,Success,0,
EVT_00072,2026-05-01 07:24:43,USR_008,Employee,Finance,Internal_Corporate,DEV_108,RES_FIN_BANK,Privileged,Read,Success,0,
EVT_00073,2026-05-01 07:32:41,USR_005,Manager,Sales,VPN_Remote,DEV_105,RES_GEN_19,Internal,Read,Success,0,
EVT_00074,2026-05-01 07:34:39,USR_038,Employee,HR,Internal_Corporate,DEV_138,RES_GEN_20,Internal,Read,Success,0,
EVT_00075,2026-05-01 07:35:36,USR_009,Admin,Engineering,Internal_Corporate,DEV_109,RES_PUB_01,Public,Read,Success,0,
EVT_00076,2026-05-01 07:36:24,USR_011,Manager,Finance,Internal_Corporate,DEV_111,RES_GEN_24,Internal,Read,Success,0,
EVT_00077,2026-05-01 07:38:32,USR_051,Employee,HR,VPN_Remote,DEV_151,RES_GEN_24,Internal,Read,Success,0,
EVT_00078,2026-05-01 07:39:18,USR_036,Manager,HR,VPN_Remote,DEV_136,RES_GEN_24,Internal,Read,Success,0,
EVT_00079,2026-05-01 07:39:34,USR_008,Employee,Finance,Internal_Corporate,DEV_108,RES_GEN_24,Internal,Read,Success,0,
EVT_00080,2026-05-01 07:40:16,USR_007,Employee,Finance,Internal_Corporate,DEV_107,RES_INT_02,Internal,Delete,Success,0,
EVT_00081,2026-05-01 07:42:03,USR_040,Employee,Finance,Internal_Corporate,DEV_140,RES_INT_01,Internal,Read,Success,0,
EVT_00082,2026-05-01 07:42:22,USR_052,Employee,Sales,Internal_Corporate,DEV_152,RES_GEN_27,Internal,Read,Success,0,
EVT_00083,2026-05-01 07:46:31,USR_008,Employee,Finance,Internal_Corporate,DEV_108,RES_FIN_TAX,Confidential,Execute,Success,0,
EVT_00084,2026-05-01 07:47:56,USR_038,Employee,HR,Internal_Corporate,DEV_138,RES_GEN_20,Internal,Write,Success,0,
EVT_00085,2026-05-01 07:48:46,USR_060,Employee,HR,Internal_Corporate,DEV_160,RES_GEN_27,Internal,Read,Success,0,
EVT_00086,2026-05-01 07:48:57,USR_006,Manager,HR,Internal_Corporate,DEV_106,RES_PUB_02,Public,Write,Success,0,
EVT_00087,2026-05-01 07:49:04,USR_054,Intern,HR,Internal_Corporate,DEV_154,RES_GEN_21,Internal,Read,Success,0,
EVT_00088,2026-05-01 07:50:03,USR_001,Employee,Engineering,Internal_Corporate,DEV_101,RES_INT_03,Internal,Read,Success,0,
EVT_00089,2026-05-01 07:50:29,USR_021,Employee,Finance,Internal_Corporate,DEV_121,RES_GEN_22,Internal,Write,Success,0,
EVT_00090,2026-05-01 07:53:21,USR_049,Employee,Finance,Internal_Corporate,DEV_149,RES_GEN_25,Internal,Read,Success,0,
EVT_00091,2026-05-01 07:55:00,USR_018,Employee,Engineering,Internal_Corporate,DEV_118,RES_GEN_20,Internal,Read,Success,0,
EVT_00092,2026-05-01 07:59:11,USR_052,Employee,Sales,Internal_Corporate,DEV_152,RES_INT_02,Internal,Read,Success,0,
EVT_00093,2026-05-01 07:59:18,USR_055,Employee,Sales,Internal_Corporate,DEV_155,RES_GEN_29,Internal,Write,Success,0,
EVT_00094,2026-05-01 08:01:15,USR_055,Employee,Sales,VPN_Remote,DEV_155,RES_INT_04,Internal,Read,Success,0,
EVT_00095,2026-05-01 08:04:46,USR_009,Admin,Engineering,Public_Internet,DEV_109,RES_FIN_TAX,Confidential,Execute,Failure,1,Privilege_Escalation
EVT_00096,2026-05-01 08:04:48,USR_009,Admin,Engineering,Public_Internet,DEV_109,RES_FIN_TAX,Confidential,Execute,Failure,1,Privilege_Escalation
EVT_00097,2026-05-01 08:04:55,USR_009,Admin,Engineering,Public_Internet,DEV_109,RES_FIN_TAX,Confidential,Execute,Failure,1,Privilege_Escalation
EVT_00098,2026-05-01 08:04:56,USR_009,Admin,Engineering,Public_Internet,DEV_109,RES_FIN_TAX,Confidential,Execute,Failure,1,Privilege_Escalation
EVT_00099,2026-05-01 08:05:06,USR_009,Admin,Engineering,Public_Internet,DEV_109,RES_FIN_TAX,Confidential,Execute,Failure,1,Privilege_Escalation
EVT_00100,2026-05-01 08:05:06,USR_009,Admin,Engineering,Public_Internet,DEV_109,RES_FIN_TAX,Confidential,Execute,Success,1,Privilege_Escalation
EVT_00101,2026-05-01 08:05:28,USR_022,Employee,Engineering,Internal_Corporate,DEV_122,RES_GEN_24,Internal,Read,Success,0,
EVT_00102,2026-05-01 08:05:46,USR_012,Manager,Sales,Public_Internet,DEV_112,RES_SAL_PIPE,Confidential,Read,Success,0,
EVT_00103,2026-05-01 08:06:29,USR_030,Intern,Finance,Internal_Corporate,DEV_130,RES_GEN_23,Internal,Delete,Success,0,
EVT_00104,2026-05-01 08:06:49,USR_041,Admin,Engineering,Internal_Corporate,DEV_141,RES_PUB_01,Public,Execute,Success,0,
EVT_00105,2026-05-01 08:06:50,USR_001,Employee,Engineering,Internal_Corporate,DEV_101,RES_INT_02,Internal,Read,Success,0,
EVT_00106,2026-05-01 08:07:43,USR_058,Employee,HR,Internal_Corporate,DEV_UNKNOWN_2155,RES_SAL_CONTRACTS,Privileged,Delete,Success,1,New_Device_Sensitive
EVT_00107,2026-05-01 08:08:19,USR_054,Intern,HR,Internal_Corporate,DEV_154,RES_INT_02,Internal,Read,Success,0,
EVT_00108,2026-05-01 08:09:58,USR_009,Admin,Engineering,Internal_Corporate,DEV_109,RES_GEN_24,Internal,Write,Success,0,
EVT_00109,2026-05-01 08:14:26,USR_039,Employee,Finance,VPN_Remote,DEV_139,RES_PUB_03,Public,Read,Success,0,
EVT_00110,2026-05-01 08:16:16,USR_027,Manager,Finance,Internal_Corporate,DEV_127,RES_FIN_BANK,Privileged,Read,Success,0,
EVT_00111,2026-05-01 08:19:11,USR_004,Employee,Sales,VPN_Remote,DEV_104,RES_SAL_PIPE,Confidential,Read,Success,0,
EVT_00112,2026-05-01 08:19:41,USR_049,Employee,Finance,Internal_Corporate,DEV_149,RES_GEN_25,Internal,Write,Success,0,
EVT_00113,2026-05-01 08:22:34,USR_010,Intern,Sales,Internal_Corporate,DEV_110,RES_FIN_TAX,Confidential,Read,Success,1,Unusual_Resource_Access
EVT_00114,2026-05-01 08:25:30,USR_060,Employee,HR,Internal_Corporate,DEV_160,RES_GEN_22,Internal,Execute,Success,0,
EVT_00115,2026-05-01 08:27:52,USR_008,Employee,Finance,Internal_Corporate,DEV_108,RES_PUB_02,Public,Read,Success,0,
EVT_00116,2026-05-01 08:29:06,USR_029,Admin,Sales,VPN_Remote,DEV_129,RES_GEN_28,Internal,Read,Success,0,
EVT_00117,2026-05-01 08:29:17,USR_032,Employee,Engineering,Internal_Corporate,DEV_132,RES_FIN_LEDGER,Confidential,Read,Success,1,Unusual_Resource_Access
EVT_00118,2026-05-01 08:29:20,USR_029,Admin,Sales,Internal_Corporate,DEV_129,RES_GEN_25,Internal,Read,Success,0,
EVT_00119,2026-05-01 08:38:39,USR_025,Intern,Engineering,Public_Internet,DEV_125,RES_GEN_22,Internal,Read,Success,0,
EVT_00120,2026-05-01 08:39:25,USR_036,Manager,HR,Internal_Corporate,DEV_136,RES_GEN_24,Internal,Write,Success,0,
EVT_00121,2026-05-01 08:43:44,USR_017,Admin,Finance,Internal_Corporate,DEV_UNKNOWN_2932,RES_ENG_CICD,Confidential,Delete,Success,1,New_Device_Sensitive
EVT_00122,2026-05-01 08:43:48,USR_053,Manager,Engineering,Public_Internet,DEV_153,RES_PUB_02,Public,Read,Success,1,Impossible_Travel
EVT_00123,2026-05-01 08:44:39,USR_024,Admin,Engineering,Internal_Corporate,DEV_124,RES_GEN_22,Internal,Read,Success,0,
EVT_00124,2026-05-01 08:51:06,USR_044,Employee,HR,Internal_Corporate,DEV_144,RES_HR_MEDICAL,Privileged,Read,Success,0,
EVT_00125,2026-05-01 08:51:08,USR_039,Employee,Finance,VPN_Remote,DEV_139,RES_FIN_BANK,Privileged,Read,Success,0,
EVT_00126,2026-05-01 08:54:47,USR_004,Employee,Sales,Internal_Corporate,DEV_104,RES_INT_03,Internal,Read,Success,0,
EVT_00127,2026-05-01 08:54:50,USR_011,Manager,Finance,Internal_Corporate,DEV_111,RES_GEN_24,Internal,Read,Success,0,
EVT_00128,2026-05-01 08:54:59,USR_030,Intern,Finance,Internal_Corporate,DEV_130,RES_GEN_26,Internal,Read,Success,0,
EVT_00129,2026-05-01 08:56:06,USR_033,Intern,Engineering,VPN_Remote,DEV_133,RES_GEN_19,Internal,Delete,Success,0,
EVT_00130,2026-05-01 08:56:16,USR_029,Admin,Sales,Internal_Corporate,DEV_129,RES_GEN_28,Internal,Read,Success,0,
EVT_00131,2026-05-01 08:56:32,USR_020,Manager,Engineering,Internal_Corporate,DEV_120,RES_GEN_21,Internal,Read,Success,0,
EVT_00132,2026-05-01 08:57:14,USR_057,Employee,Sales,Internal_Corporate,DEV_157,RES_GEN_19,Internal,Read,Success,0,
EVT_00133,2026-05-01 08:57:23,USR_021,Employee,Finance,Internal_Corporate,DEV_121,RES_GEN_29,Internal,Write,Success,0,
EVT_00134,2026-05-01 08:57:57,USR_047,Employee,HR,Internal_Corporate,DEV_147,RES_GEN_21,Internal,Read,Success,0,
EVT_00135,2026-05-01 08:59:08,USR_011,Manager,Finance,Internal_Corporate,DEV_111,RES_GEN_20,Internal,Read,Success,0,
EVT_00136,2026-05-01 09:00:00,USR_005,Manager,Sales,Internal_Corporate,DEV_105,RES_GEN_21,Internal,Read,Success,0,
EVT_00137,2026-05-01 09:00:17,USR_007,Employee,Finance,VPN_Remote,DEV_107,RES_INT_02,Internal,Read,Success,0,
EVT_00138,2026-05-01 09:02:52,USR_012,Manager,Sales,Internal_Corporate,DEV_112,RES_INT_03,Internal,Read,Success,0,
EVT_00139,2026-05-01 09:04:21,USR_010,Intern,Sales,Public_Internet,DEV_110,RES_GEN_28,Internal,Read,Success,0,
EVT_00140,2026-05-01 09:04:24,USR_043,Employee,Sales,VPN_Remote,DEV_143,RES_PUB_01,Public,Read,Success,0,
EVT_00141,2026-05-01 09:07:32,USR_007,Employee,Finance,Internal_Corporate,DEV_107,RES_FIN_LEDGER,Confidential,Write,Success,0,
EVT_00142,2026-05-01 09:08:07,USR_008,Employee,Finance,Internal_Corporate,DEV_108,RES_INT_04,Internal,Read,Success,0,
EVT_00143,2026-05-01 09:08:14,USR_012,Manager,Sales,Internal_Corporate,DEV_112,RES_SAL_PIPE,Confidential,Read,Success,0,
EVT_00144,2026-05-01 09:08:32,USR_027,Manager,Finance,Internal_Corporate,DEV_127,RES_GEN_29,Internal,Read,Success,0,
EVT_00145,2026-05-01 09:09:35,USR_024,Admin,Engineering,Internal_Corporate,DEV_124,RES_GEN_28,Internal,Read,Success,0,
EVT_00146,2026-05-01 09:11:45,USR_011,Manager,Finance,Internal_Corporate,DEV_111,RES_GEN_22,Internal,Write,Success,0,
EVT_00147,2026-05-01 09:13:46,USR_019,Employee,HR,Internal_Corporate,DEV_119,RES_GEN_22,Internal,Read,Success,0,
EVT_00148,2026-05-01 09:15:22,USR_013,Employee,Sales,Internal_Corporate,DEV_113,RES_GEN_20,Internal,Read,Success,0,
EVT_00149,2026-05-01 09:15:41,USR_013,Employee,Sales,VPN_Remote,DEV_113,RES_INT_01,Internal,Write,Success,0,
EVT_00150,2026-05-01 09:16:28,USR_004,Employee,Sales,VPN_Remote,DEV_104,RES_PUB_02,Public,Write,Success,0,
EVT_00151,2026-05-01 09:17:15,USR_001,Employee,Engineering,Internal_Corporate,DEV_101,RES_INT_03,Internal,Read,Failure,0,
EVT_00152,2026-05-01 09:17:43,USR_011,Manager,Finance,VPN_Remote,DEV_111,RES_GEN_22,Internal,Read,Success,0,
EVT_00153,2026-05-01 09:18:09,USR_033,Intern,Engineering,Internal_Corporate,DEV_133,RES_ENG_CICD,Confidential,Read,Failure,0,
EVT_00154,2026-05-01 09:18:50,USR_021,Employee,Finance,Internal_Corporate,DEV_121,RES_GEN_29,Internal,Read,Success,0,
EVT_00155,2026-05-01 09:19:48,USR_008,Employee,Finance,Internal_Corporate,DEV_108,RES_FIN_TAX,Confidential,Execute,Success,0,
EVT_00156,2026-05-01 09:20:11,USR_030,Intern,Finance,Internal_Corporate,DEV_130,RES_PUB_01,Public,Read,Success,0,
EVT_00157,2026-05-01 09:20:38,USR_033,Intern,Engineering,VPN_Remote,DEV_UNKNOWN_6686,RES_ENG_PROD_DB,Privileged,Delete,Success,1,New_Device_Sensitive
EVT_00158,2026-05-01 09:22:35,USR_039,Employee,Finance,VPN_Remote,DEV_139,RES_PUB_03,Public,Read,Success,0,
EVT_00159,2026-05-01 09:22:53,USR_039,Employee,Finance,VPN_Remote,DEV_139,RES_GEN_28,Internal,Execute,Success,0,
EVT_00160,2026-05-01 09:24:11,USR_057,Employee,Sales,VPN_Remote,DEV_157,RES_GEN_29,Internal,Write,Success,0,
EVT_00161,2026-05-01 09:24:46,USR_029,Admin,Sales,VPN_Remote,DEV_129,RES_PUB_03,Public,Delete,Success,0,
